大tab,品类,名称,指标值,主投链路x产品,视频号/店铺,CTR,CVR,ROI,退款率,客单价,卖点,商品链接,图片链接,素材链接
AMS投放爆品,T恤,【品质纯棉】新款宽松休闲t恤短袖百搭大码中长款白色时尚女C,,ADQ×小店 (100.0%),豪赛雷服饰,3.65,8.17,3.23,45.54,40.2,版型:宽松 | 季节:夏季 | 卖点:宽松 | 风格:百搭通勤,,,http://adsmind.gdtimg.com/ads_svp_video__0bc3mqaisaaaq4aneg3ul5vbuzaerfsabcka.f0.mp4?dis_k=9b8dd033355fb5e9a1007b3049fff43b&dis_t=1786010602&m=6038e17b2c7e13dd423929917a5a4d84&sha256=72a74d6fb977ecc1488b774a7689c87d3df23e5a426efd9518f066d669017552
AMS投放爆品,T恤,藏青纯棉短袖T恤女2026新款宽松显瘦百搭半袖设计感上衣C,,ADQ×小店 (100.0%),豪赛雷服饰,5.38,7.97,3.6,20.67,40.1,版型:修身 | 季节:夏季 | 卖点:显瘦 | 风格:百搭通勤,,,http://adsmind.gdtimg.com/ads_svp_video__0bc34iarqaabyeacsat57fvbxyqeddracgca.f0.mp4?dis_k=d3ae8f508f9a9c9b21f5b478db9af3b1&dis_t=1786523947&m=faae594e6b72f9ba772a79f6209b3e14&sha256=3fa1e18eb5dcfdc5399179f3154d1e0d00913186d36ee2ef72ba3cea3a96d0ab
AMS投放爆品,T恤,100%纯棉咖色短袖T恤女夏新款宽松圆领时尚百搭减龄上衣C,,ADQ×小店 (100.0%),豪赛雷服饰,5.08,6.8,2.97,47.87,40.0,版型:宽松 | 季节:夏季 | 卖点:宽松 | 风格:百搭通勤,,,http://adsmind.gdtimg.com/ads_svp_video__0bc3qmaesaaa4uana4lvivvbvayejgbqaska.f0.mp4?dis_k=5e1106fb80f511a1b0f17da845e9d009&dis_t=1786091887&m=475aa510ed9db8873fe693ae5993a075&sha256=5bfbd88c9ca3295690e0eeeb81266821d2621143a681610093a773ba046c2577
AMS投放爆品,T恤,100%棉短袖T恤女夏季200斤大码显瘦宽松时尚休闲半袖洋气百搭显白上衣G,,ADQ×小店 (100.0%),豪赛雷服饰,3.14,10.49,3.54,36.82,40.2,版型:修身 | 季节:夏季 | 卖点:显瘦 | 风格:百搭通勤,,,http://adsmind.gdtimg.com/ads_svp_video__0b53zuavsaabh4anlbt35vvbxtielhgqcwka.f0.mp4?dis_k=002a92010a633dd42648451160cc8a72&dis_t=1786616954&m=6d5b29f4c16909692108088679ba1399&sha256=471211bc5e4c5869a8dad2aab1ef7ba31061579f0ace23ead8cee6df853f6267
AMS投放爆品,T恤,【优质纯棉】夏季新款全棉短袖T恤女夏季大码宽松显瘦印花百搭国风上C,,ADQ×小店 (100.0%),豪赛雷服饰,4.54,9.79,3.46,28.24,40.3,版型:修身 | 季节:夏季 | 卖点:显瘦 | 风格:百搭通勤,,,http://adsmind.gdtimg.com/ads_svp_video__0b53cyajuaaapmag7e3wofvbufqetilabgsa.f0.mp4?dis_k=229cfa35ba6753392691e02deda07986&dis_t=1786181006&m=5556b6f123279f383971494856d51a63&sha256=1925fe18c12472865af06d6c73ad560e291f1838faf9270a66f5b5767ff30e71
AMS投放爆品,T恤,100%纯棉短袖T恤女宽松显瘦圆领玫瑰印花慵懒休闲上衣,,ADQ×小店 (100.0%),豪赛雷服饰,5.28,6.53,3.27,33.48,40.1,版型:修身 | 季节:夏季 | 卖点:显瘦 | 风格:休闲运动,,,http://adsmind.gdtimg.com/ads_svp_video__0bc3ciaksaaagmajfw3rynvbueqevejabkka.f0.mp4?dis_k=ac89196b3392535e7646e7d057925770&dis_t=1785805621&m=df2fed31ac31407d5038644d913e733c&sha256=7f89fd279759ae02f795ff95ce871ba4f06977f26d02dddef04a29574ce6ea07
AMS投放爆品,T恤,2026夏季新款纯棉短袖t恤女士宽松显瘦洋气减龄休闲大码圆领上衣G,,ADQ×小店 (100.0%),豪赛雷服饰,4.25,7.46,3.36,34.42,40.2,版型:修身 | 季节:夏季 | 卖点:显瘦 | 风格:休闲运动,,,http://adsmind.gdtimg.com/ads_svp_video__0bc37iaf4aaaimadl63qtrvbv6qel35aaxsa.f0.mp4?dis_k=cc3b0028cae98ddf896544afac6c5c87&dis_t=1785752537&m=6af2683185e06c16a5fac49dbacfe0f0&sha256=ddceabfdbb92d0fc5badffeb7895d07938885f32a7d208493ec71331b6031e60
AMS投放爆品,T恤,【优质纯棉】2026夏季新款短袖t恤女士宽松显瘦洋气减龄休闲大码圆领上衣G,,ADQ×小店 (100.0%),豪赛雷服饰,4.91,6.92,3.24,24.86,40.0,版型:修身 | 季节:夏季 | 卖点:显瘦 | 风格:休闲运动,,,http://adsmind.gdtimg.com/ads_svp_video__0bc37iaf4aaaimadl63qtrvbv6qel35aaxsa.f0.mp4?dis_k=cc3b0028cae98ddf896544afac6c5c87&dis_t=1785752537&m=6af2683185e06c16a5fac49dbacfe0f0&sha256=ddceabfdbb92d0fc5badffeb7895d07938885f32a7d208493ec71331b6031e60
AMS投放爆品,T恤,【优质棉】2026夏季新款短袖t恤女纯棉宽松显瘦洋气减龄休闲大码上衣G,,ADQ×小店 (100.0%),豪赛雷服饰,4.43,6.97,3.0,35.37,40.3,版型:修身 | 季节:夏季 | 卖点:显瘦 | 风格:休闲运动,,,http://adsmind.gdtimg.com/ads_svp_video__0bc37iaf4aaaimadl63qtrvbv6qel35aaxsa.f0.mp4?dis_k=cc3b0028cae98ddf896544afac6c5c87&dis_t=1785752537&m=6af2683185e06c16a5fac49dbacfe0f0&sha256=ddceabfdbb92d0fc5badffeb7895d07938885f32a7d208493ec71331b6031e60
AMS投放爆品,T恤,【莱赛尔 透心凉面膜T恤】莱赛尔天丝减龄遮肉显瘦速干透气不闷汗圆领纯色短袖小衫,,ADQ×直播 (100.0%),YOKO懿彄特伦,3.4,3.56,2.44,43.17,70.2,版型:修身 | 季节:夏季 | 卖点:显瘦 | 风格:日常百搭,,,http://adsmind.gdtimg.com/ads_svp_video__0bc3nabu6aad34adnqjqmjvbs2aej5uagt2a.f0.mp4?dis_k=d86f3b91b8d91301d6867e0075215506&dis_t=1784839296&m=e0742d3cfcd3474475b5c895f86fa1a5&sha256=7644055ee4092b29c330a05e16561d29e6d56d67401c51ca8fe7134d36bc3883
AMS投放爆品,T恤,【气质休闲】纯棉短袖t恤女2026新款爆款简约时尚宽松版大码显瘦休闲上衣G,,ADQ×小店 (100.0%),豪赛雷服饰,4.21,7.0,3.09,40.37,40.3,版型:修身 | 季节:夏季 | 卖点:显瘦 | 风格:百搭通勤,,,http://adsmind.gdtimg.com/ads_svp_video__0b53yaad6aaaf4aggflmlfvbvqaeh7aaap2a.f0.mp4?dis_k=79024d2906619279a28af68f42231212&dis_t=1785486605&m=132f6f096bf4b9d44db40cbebc100bb0&sha256=921e36209ba7b42049cb04f07e09a5dd091daee534a806f47229fe94c406c50f
AMS投放爆品,T恤,【清仓捡漏】纯棉短袖T恤女2026夏季大码显瘦宽松韩版时尚妈妈装百搭半袖G,,ADQ×小店 (100.0%),豪赛雷服饰,4.31,8.45,3.07,59.28,41.1,版型:修身 | 季节:夏季 | 卖点:显瘦 | 风格:百搭通勤,,,http://adsmind.gdtimg.com/ads_svp_video__0bc3pibngaac3aabz2tlibvbq6qe2n5afu2a.f0.mp4?dis_k=8dccb50edc0814c218b3d67d110fc517&dis_t=1785319353&m=fee7a591060bcbbc5be01c308e49de0c&sha256=80204e7f17683ec74dc837145f6a22d550e479509207604871d438d649440788
AMS投放爆品,T恤,【买一送一】李小冉同款白小T冰柔棉T恤三代短袖休闲凉感防晒透气,,ADQ×直播 (56.0%),拇指白小T官方旗舰店,2.58,1.55,2.63,29.91,261.4,版型:常规 | 季节:夏季 | 卖点:防晒 | 风格:休闲运动,,,http://adsmind.gdtimg.com/ads_svp_video__0b53leadwaaakaaiwskixvvbuwiehnmqao2a.f0.mp4?dis_k=b77c958de7182218c08a26d146e0bbc0&dis_t=1783481870&m=b05936c0d54c083bb8350146e9f63ab6&sha256=efcfa7d0dffc45cb6ab866e4f908642c47530d78b50103f955fcbcc0ae11bf42
AMS投放爆品,T恤,【纯棉】夏季短袖t恤女2026新款爆款简约时尚宽松版大码显瘦休闲上衣G,,ADQ×小店 (100.0%),豪赛雷服饰,3.36,6.54,3.0,37.92,40.4,版型:修身 | 季节:夏季 | 卖点:显瘦 | 风格:百搭通勤,,,http://adsmind.gdtimg.com/ads_svp_video__0b53yaad6aaaf4aggflmlfvbvqaeh7aaap2a.f0.mp4?dis_k=79024d2906619279a28af68f42231212&dis_t=1785486605&m=132f6f096bf4b9d44db40cbebc100bb0&sha256=921e36209ba7b42049cb04f07e09a5dd091daee534a806f47229fe94c406c50f
AMS投放爆品,T恤,{ 莱赛尔纤维 速干不闷汗} 莱赛尔清爽遮肉显瘦面膜T恤小衫,,ADQ×直播 (97.7%),YOKO懿彄特伦,3.91,2.95,2.57,34.56,70.2,版型:修身 | 季节:四季 | 卖点:显瘦 | 风格:日常百搭,,,http://adsmind.gdtimg.com/ads_svp_video__0bc344argaabiyaag753unurxzyecptqce2a.f0.mp4?dis_k=5c89b850ca641570e0f5a7e02ece4bc6&dis_t=1773801689&m=6ebb1003d998262f9142e04b3b7fe31a&sha256=c62453039e712a0a3aa43b0190c2e91cab4756f99f7d01861acd9e8297b6aed7
AMS投放爆品,T恤,黑色一字领中袖T恤女2026新款修身显瘦五分袖打底衫内搭性感漏锁骨上衣,,小店广告×小店 (100.0%),漫生活-服饰,2.38,8.97,3.3,42.33,70.3,版型:修身 | 季节:四季 | 卖点:显瘦 | 风格:日常百搭,,,http://adsmind.gdtimg.com/ads_svp_video__0bc344adaaaa3qaisazd6fvbvzyegdtqamca.f0.mp4?dis_k=80ff357dcb648dd02b90e7369551a5ca&dis_t=1780726079&m=f2e315c1f68e14b89d5d93cab6091e12
AMS投放爆品,T恤,【专柜正品】五分袖打底衫T恤百搭显瘦内搭纯色简约大码圆领半袖女,,ADQ×直播 (100.0%),秀密密工厂店,3.84,7.9,2.92,26.82,50.2,版型:修身 | 季节:四季 | 卖点:显瘦 | 风格:百搭通勤,,,http://adsmind.gdtimg.com/ads_svp_video__0b53pyamoaaa5uapjxdvafvbu7qey57abr2a.f0.mp4?dis_k=939f092bdbefb53c39a382b698a4c151&dis_t=1786065850&m=d0c6c96f206d766ce6aeb285f98eca6c&sha256=940f41cab5bd0f11d0e7e81cb009438c4a7b411ec8f2ba4f80cc7737bbd0e0fe
AMS投放爆品,T恤,【七夕大促】秩年夏季大码遮肉显瘦竹节棉T恤微胖宽松V领短袖女透气上衣,,ADQ×小店 (100.0%),小鹅优选购,1.97,11.5,3.0,24.8,99.2,版型:修身 | 季节:夏季 | 卖点:显瘦 | 风格:日常百搭,,,http://adsmind.gdtimg.com/ads_svp_video__0bc3vmao6aaabuagrjtainvbvkye56vqb32a.f0.mp4?dis_k=10fa3671e25b1a988ae5c4e4eb5478cb&dis_t=1786600451&m=9a1a9083ff1e4cae3482a266344d98a4&sha256=480f6b80b82086addac7dead1b17d598dffd77e8db51b9658202996c49b83301
AMS投放爆品,T恤,【超划算优质纯棉】新款宽松休闲t恤短袖百搭大码中长款彩色时尚女C,,ADQ×小店 (100.0%),豪赛雷服饰,5.96,5.6,2.93,43.63,40.1,版型:宽松 | 季节:夏季 | 卖点:宽松 | 风格:百搭通勤,,,http://adsmind.gdtimg.com/ads_svp_video__0b53ueaowaaanealdilumzvbviie5oqqb22a.f0.mp4?dis_k=473f4c3dd00faa81cd3f353352876b82&dis_t=1786010357&m=2a1686bdb5adf874039aff0e81cc2fbd&sha256=527974cd473a0560bc8a247f8fc9d03e23bf7e7ace008747ebca211677cd6eaa
AMS投放爆品,T恤,【新店开业】轶年复古条纹圆领短袖显瘦正肩百搭可外穿女士日常上衣,,ADQ×小店 (100.0%),小鹅优选购,3.18,4.7,3.02,24.42,99.0,版型:修身 | 季节:夏季 | 卖点:显瘦 | 风格:百搭通勤,,,http://adsmind.gdtimg.com/ads_svp_video__0b535mam2aaafyajq3dvbbvbv2yezxvqbtka.f0.mp4?dis_k=07a4373130bc80a62525e23af703149d&dis_t=1786695096&m=cd95f83d9304ae94134dced999c42a9b&sha256=ca087fecc031579c949477a537851ec359cdedbf080c8e4d361397bd6a0fa204
AMS投放爆品,T恤,2026新款短袖T恤女棉质正肩圆领韩系时尚减龄显瘦百搭休闲上衣,,小店广告×小店 (75.5%),温莳精品服饰,2.55,6.25,3.29,38.48,59.3,版型:修身 | 季节:夏季 | 卖点:显瘦 | 风格:百搭通勤,,,http://adsmind.gdtimg.com/ads_svp_video__0bc3zyabsaaae4aeit2hrrvbvtqedhhaagka.f0.mp4?dis_k=b1286e3d05dadc68ec3829c5eee34ae8&dis_t=1783145947&m=fde9eb80c489b8ad657ab0c0777846b8&sha256=57974620a5ed26674174a4c2f0c662a6f3af5313ef9400bd3350f3b8cb126a04
AMS投放爆品,T恤,{ 莱赛尔纤维 速干不闷汗} 莱赛尔清爽遮肉显瘦面膜T恤小衫,,小店广告×小店 (56.7%),DBO鲷铋,5.02,3.64,2.85,50.17,70.3,版型:修身 | 季节:四季 | 卖点:显瘦 | 风格:日常百搭,,,http://adsmind.gdtimg.com/ads_svp_video__0bc3iqbegaacyyafybizczvbqraeincaeq2a.f0.mp4?dis_k=6685d225ced5e64f11e251d261cc95e8&dis_t=1780162896&m=5a00e7b835265ccc1a1d8e70f1800320&sha256=62f53db67f3791d7ec04e19b13a502c8ff1cec26a9040d0127086fe85bc4a30e
AMS投放爆品,T恤,2026新款纯棉韩版时尚洋气宽松大码遮肉显瘦圆领短袖T恤女,,ADQ×小店 (100.0%),豪赛雷服饰,2.89,7.62,2.79,32.74,40.0,版型:修身 | 季节:夏季 | 卖点:显瘦 | 风格:日常百搭,,,http://adsmind.gdtimg.com/ads_svp_video__0b537qaksaaa2manfoj7lzvbv7aevh6abkka.f0.mp4?dis_k=ded13bd368fc9c4f53bcb503c9ce56d5&dis_t=1782545680&m=e95558148ed325550363712730cf861e&sha256=d08b0f646039c3beff6934fba3b0409659b596f41c898ba76adb5fb9ce881570
AMS投放爆品,T恤,【气质优雅】夏季200斤大码显瘦纯棉短袖T恤女宽松版休闲半袖洋气减龄上衣G,,ADQ×小店 (100.0%),豪赛雷服饰,3.33,9.16,2.92,31.93,40.6,版型:修身 | 季节:夏季 | 卖点:显瘦 | 风格:休闲运动,,,http://adsmind.gdtimg.com/ads_svp_video__0bc3gmaaqaaaamaemg3q2zvbumyebazqacca.f0.mp4?dis_k=60e2ee9fe90f9e70b62721c9c2f5213c&dis_t=1785744952&m=3bc9182a63f9b9461f07064b000f4bba&sha256=ef809643c23335596c6057894152e10e0f567aea2e0dddd582b4efd1239de819
AMS投放爆品,T恤,【洋气休闲】夏季新款大码宽松印花短袖T恤女时尚百搭显瘦上衣,,ADQ×小店 (100.0%),豪赛雷服饰,2.28,8.19,2.82,48.56,40.2,版型:修身 | 季节:夏季 | 卖点:显瘦 | 风格:百搭通勤,,,http://adsmind.gdtimg.com/ads_svp_video__0b53uubvcaadjaac4qjy3nvbtjiekgsqguka.f0.mp4?dis_k=9515c7e88c736b8c5ddd2ede01b5496e&dis_t=1783674196&m=bc6089efd054c8af7b62a464276a449d&sha256=00e1aa45fd7f30101de9d5e49411242c576055f388685d0654f25b8068102a27
AMS投放爆品,T恤,2026新款小立领五分袖打底衫T恤百搭显瘦内搭纯色简约大码,,ADQ×直播 (100.0%),秀密密工厂店,4.26,7.37,2.89,39.95,50.3,版型:修身 | 季节:四季 | 卖点:显瘦 | 风格:百搭通勤,,,http://adsmind.gdtimg.com/ads_svp_video__0b53zablcaackaaogxtkdfvbrsaewheafmka.f0.mp4?dis_k=1280c0c2bddd464049d7e3f5e98b7fb0&dis_t=1785221817&m=28e7e38e7db3f5a80319a7c4da5c6590&sha256=056917257e7498f989204fc0749864e27388386fb7e688026b60c8ad802aab86
AMS投放爆品,T恤,【热卖推荐】2026新款洋气减龄显瘦T恤百搭设计感短袖上衣G3946,,小店广告×小店 (100.0%),诗野服饰商行,3.17,6.54,3.88,51.87,89.6,版型:修身 | 季节:夏季 | 卖点:显瘦 | 风格:百搭通勤,,,http://adsmind.gdtimg.com/ads_svp_video__0bc3p4afwaaahaahtayh55vbu7yeln7qaw2a.f0.mp4?dis_k=212bebff6a8cc80e2e96223b4b1b833a&dis_t=1778853213&m=9559189fc36934e2a6fbee625d73a47f&sha256=93f0a7d04cd6ff874bf59cfe5af396a09f7768f84ca3fbf86e096da2baa0d280
AMS投放爆品,T恤,2026夏季新款纯棉圆领T恤女潮流百搭短袖时尚休闲半袖印花上衣,,ADQ×小店 (100.0%),豪赛雷服饰,3.11,4.53,2.7,36.87,40.7,版型:常规 | 季节:夏季 | 卖点:百搭 | 风格:百搭通勤,,,http://adsmind.gdtimg.com/ads_svp_video__0b537ibm2aacquaadtllnfvbr6qezx5aftka.f0.mp4?dis_k=178b27724ab75195fe4cd15eb5abcb69&dis_t=1785318553&m=80b36bdd95c1ccd1cf5da40850c4ec4c&sha256=c928b5d0b3f000f6b666eb287e0bd8f08da723fa09060ca9648ec20b6e7ac1c7
AMS投放爆品,T恤,{热卖推荐】时尚圆领洋气小衫百搭宽松显瘦气质短袖上衣,,ADQ×小店 (100.0%),豪赛雷服饰,2.92,8.84,2.64,37.05,40.1,版型:修身 | 季节:夏季 | 卖点:显瘦 | 风格:百搭通勤,,,http://adsmind.gdtimg.com/ads_svp_video__0b53caalcaaagyalvlttczvbueaeweiabmka.f0.mp4?dis_k=25f8748e9103b3c2fdd8ba5101f4be8c&dis_t=1785924395&m=ba8a14284cdbdecf4243866d8db7fee3&sha256=4989639673ee1a713c776fa291e0e799e5dfcb9abad70633f43501d22cb6dba7
AMS投放爆品,T恤,【优质纯棉】夏季新款字母印花大码时尚百搭减龄潮流短袖圆领T恤女p,,ADQ×小店 (100.0%),豪赛雷服饰,4.19,6.81,3.15,17.89,39.9,版型:常规 | 季节:夏季 | 卖点:百搭 | 风格:百搭通勤,,,http://adsmind.gdtimg.com/ads_svp_video__0bc3uyaxyaab5uakhat36jvbxjqepstac7ca.f0.mp4?dis_k=22d7d16627a04138a489835b45fa6b79&dis_t=1786437460&m=7f06d628836a9b450c27bf8d412d1d0e&sha256=2e0fd53dc4650d91844cafd4b7ef5ff6dc8ff529d20f26491026fb0984a82189
AMS投放爆品,休闲裤,【杨幂同款】SIINSIIN垂垂滑滑冰皮云感直筒裤粉彩风防晒裤,,ADQ×直播 (68.9%),SIINSIIN星钥品牌,2.2,4.86,3.52,78.29,213.5,版型:常规 | 季节:夏季 | 卖点:防晒 | 风格:日常百搭,,,http://adsmind.gdtimg.com/ads_svp_video__0b53pmabiaaa44ad37o7knuru6yecr5qafca.f0.mp4?dis_k=d6641675627eabf1b831e42c65bd698a&dis_t=1776243403&m=e7ca25d7f7221a734aade79e1288f9f4&sha256=b46eebfc63ee7075011ec452fa995c447f669346fe5e08ab7a355452f4ee3d4d
AMS投放爆品,休闲裤,WANG ZONE｜长腿裤 极简弹力舒适微喇黑色显瘦休闲长裤,,ADQ×直播 (100.0%),王王王大头OT设计师,3.78,8.08,58.5,48.8,790.8,版型:修身 | 季节:四季 | 卖点:显瘦 | 风格:休闲运动,,,http://adsmind.gdtimg.com/ads_svp_video__0b53wqafkaaa4mafctdq5rvbvnaekw2aavka.f0.mp4?dis_k=e19e11f23c92bdabdbf460b0ad96d133&dis_t=1785726067&m=6dd71f34b4e9573539671acde561f7b9&sha256=7decbe6c41719d60dfd3a92f6951272f2873e0f53d1278ab6380de95e25ff5d2
AMS投放爆品,休闲裤,阔腿裤女2026夏季新款垂感宽松显瘦休闲裤时尚百搭八分裤,,ADQ×小店 (100.0%),晴迈优选好物,2.6,4.95,2.7,36.45,99.7,版型:修身 | 季节:夏季 | 卖点:显瘦 | 风格:百搭通勤,,,http://adsmind.gdtimg.com/ads_svp_video__0b53r4csgaafkmae3xxz2vur7dyeeohqki2a.f0.mp4?dis_k=370019b0060680575345e6312351e896&dis_t=1780649940&m=644dcaeb7eb64e6ebd18aebba03a2fee&sha256=f9c7431627459daa8a979a86b8141a9a7dcbc852aae67e0042cbb5d9d5d2b625
AMS投放爆品,休闲裤,2026新款工装阔腿女裤 螺纹宽腰头提臀线透气速干凉感显瘦百搭运动休闲裤6318,,小店广告×小店 (100.0%),一亦穿搭减肥版,3.81,9.52,7.99,45.78,80.1,版型:修身 | 季节:四季 | 卖点:显瘦 | 风格:百搭通勤,,,http://adsmind.gdtimg.com/ads_svp_video__0b53kian2aaahaao4k2rorvbuuqe3vjabxka.f0.mp4?dis_k=5154525513033aef436e42607417951d&dis_t=1783706477&m=d355f593ed1d73d9aca0c5de7b0668b1
AMS投放爆品,休闲裤,【夏季】新款时尚高腰休闲裤 哈伦萝卜裤 弹力显瘦百搭卫裤纯色裤子,,ADQ×直播 (72.7%),森衣惠女装,3.17,3.72,3.39,62.59,130.2,版型:修身 | 季节:夏季 | 卖点:显瘦 | 风格:百搭通勤,,,http://adsmind.gdtimg.com/ads_svp_video__0b535abwcaadamacv67enburt2aemhuagyka.f0.mp4?dis_k=cd090c50f117c680add312e49448350d&dis_t=1776765944&m=2f0b42b7efda78d26a1340710c842432&sha256=6806641b9db586809b693bfd5eb79de695097de1501cf1d5ed7e696a06da84f2
AMS投放爆品,休闲裤,爆款高级灰色微喇裤女2026早秋新款垂感松紧腰弹力显瘦妈妈休闲裤,,小店广告×小店 (100.0%),安然女装穿搭视频,5.36,9.04,4.2,20.39,59.4,版型:修身 | 季节:秋冬 | 卖点:显瘦 | 风格:休闲运动,,,http://adsmind.gdtimg.com/ads_svp_video__0bc3aqbmwaac4uanb4lm3vvbsbaezmcafs2a.f0.mp4?dis_k=5fccf9c855fca61af0b2bf8b0d72d230&dis_t=1785601004
AMS投放爆品,休闲裤,【夏季新款】弹力窄版阔腿裤时尚休闲裤面料柔软显瘦百搭弹力新款裤子,,ADQ×小店 (50.8%),森衣惠时尚女装店,4.7,3.17,4.4,64.7,131.2,版型:修身 | 季节:夏季 | 卖点:显瘦 | 风格:百搭通勤,,,http://adsmind.gdtimg.com/ads_svp_video__0b53meck6aaebiaeixpb7jur4yiev5qqjl2a.f0.mp4?dis_k=bb03bd682866193f14236e86db6811cb&dis_t=1776675727&m=bb5a270db52508a5b9c569842d581533&sha256=2ca22f79716c14df0df39dfabb9db1f04e108419dd0cfc28728f3cb6466a5853
AMS投放爆品,休闲裤,【杨幂同款】SIINSIIN云感直筒裤高腰显瘦夏季冰皮休闲裤,,ADQ×直播 (55.2%),SIINSIIN星钥品牌,2.53,6.8,3.54,67.86,202.5,版型:修身 | 季节:夏季 | 卖点:显瘦 | 风格:休闲运动,,,http://adsmind.gdtimg.com/ads_svp_video__0bc3tibn6aaciqairz6q4jurrgqe36nafx2a.f0.mp4?dis_k=a049d47c07c26b669d56637c88e7fa8a&dis_t=1777130370&m=2db26ef8db965ee404bfabeff7bb9c92&sha256=6bab121ec84ac992a3235c34467df0935c620d528b376e90235ebe8b614153b7
AMS投放爆品,休闲裤,【云柔棉豌豆裤】2026年夏季新款高腰显瘦气质百搭时尚豌豆裤 81032,,小店广告×直播 (100.0%),皖宜夫妇的工厂店,2.83,5.6,8.13,72.13,140.9,版型:修身 | 季节:夏季 | 卖点:显瘦 | 风格:百搭通勤,,,http://adsmind.gdtimg.com/ads_svp_video__0bc364avmaabvmaif6ipajvbx5yek33qcvsa.f0.mp4?dis_k=3c4b20bae4f41866cc79f4197533b828&dis_t=1779356769&m=d00bc70ff2fddcdefa7e0edfc2ef861d
AMS投放爆品,休闲裤,2026夏季新款高腰显瘦香蕉裤女时尚百搭宽松休闲垂感直筒运动长裤,,小店广告×小店 (100.0%),蕴特女装服饰工厂,5.78,5.3,4.52,53.43,50.2,版型:修身 | 季节:夏季 | 卖点:显瘦 | 风格:百搭通勤,,,http://adsmind.gdtimg.com/ads_svp_video__0bc3nmadkaaacaakghdnqfvbu2yegvvqanka.f0.mp4?dis_k=eae21c3c86e1b8864886db096105a90a&dis_t=1785566852&m=e3ff93a64cf585d9e1aecc684667d860
AMS投放爆品,休闲裤,[夏薄款]2026新款提臀线螺纹宽腰头透气速干凉感显瘦百搭阔腿工装休闲运动女裤子6318,,小店广告×小店 (90.6%),一亦穿搭减肥版,3.64,10.64,7.04,52.4,79.9,版型:修身 | 季节:夏季 | 卖点:显瘦 | 风格:百搭通勤,,,http://adsmind.gdtimg.com/ads_svp_video__0b53kian2aaahaao4k2rorvbuuqe3vjabxka.f0.mp4?dis_k=5154525513033aef436e42607417951d&dis_t=1783706477&m=d355f593ed1d73d9aca0c5de7b0668b1
AMS投放爆品,休闲裤,2026夏季新款百搭垂感洋气宽松显瘦高腰阔腿裤,,小店广告×直播 (75.1%),雅雅服饰9225,5.43,7.78,10.77,98.25,60.2,版型:修身 | 季节:夏季 | 卖点:显瘦 | 风格:百搭通勤,,,http://adsmind.gdtimg.com/ads_svp_video__0b53tyayyaablyagyycydzvbxhqerspaddca.f0.mp4?dis_k=372d99b7236e561a1f0c2adbf966a8da&dis_t=1784275144&m=ac3b3930ea49667ba5876a689d42fdf8
AMS投放爆品,休闲裤,2026新款夏季冰丝高腰宽松显瘦休闲裤妈妈大码九分哈伦裤,,小店广告×小店 (100.0%),兰子优品女装工厂店,3.25,7.94,3.12,25.12,30.6,版型:修身 | 季节:夏季 | 卖点:显瘦 | 风格:休闲运动,,,http://adsmind.gdtimg.com/ads_svp_video__0b53rqalsaaa7uab24kzefvbvdaexggaboka.f0.mp4?dis_k=0ab01cdaf15d7bfe0b2e0b87bcd83711&dis_t=1784259705&m=98b40f1f7801103586e2686489c56039
AMS投放爆品,休闲裤,浙锦早秋新款32姆米真丝夏季双面缎重磅阔腿裤 舒适不易皱垂顺显瘦裤子,,ADQ×直播 (100.0%),浙锦ZHEJIN,2.84,2.18,7.55,97.56,2126.8,版型:修身 | 季节:夏季 | 卖点:显瘦 | 风格:日常百搭,,,http://adsmind.gdtimg.com/ads_svp_video__0b53vib6uaadhmahay6ponurtkqe5kvah2sa.f0.mp4?dis_k=be1ae93ee3882666270dce81850a1397&dis_t=1786086923&m=286c985bafc59d74f7ee106a34825143&sha256=72e775692135e24220d28d6678ee784bd99a422f0511cec754ae8a18eac26020
AMS投放爆品,休闲裤,拉夏贝尔冰氧亚麻裤女夏季薄款2026高腰宽松小个子窄版阔腿直筒裤,,ADQ×小店 (100.0%),拉夏贝尔女裤优选,3.28,6.55,5.82,67.95,160.4,版型:宽松 | 季节:夏季 | 卖点:高腰 | 风格:日常百搭,,,http://adsmind.gdtimg.com/ads_svp_video__0bc35abfuaacpiaemmzd4jvbr2aelluaewsa.f0.mp4?dis_k=25da7437a115313b1771355f7bd5dd26&dis_t=1784788580&m=a5486487ead6133d847bb95bc605bfb6&sha256=7d8b74b371c74002e81900d061f4347afcb4dd9b598526ab24a89a2ceffbec5d
AMS投放爆品,休闲裤,2026灰色微喇裤子女早秋新款高腰百搭修身显瘦窄版休闲妈妈喇叭裤,,小店广告×小店 (100.0%),安然女装穿搭视频,4.95,9.01,4.5,34.0,59.2,版型:修身 | 季节:秋冬 | 卖点:显瘦 | 风格:百搭通勤,,,http://adsmind.gdtimg.com/ads_svp_video__0bc3aqbmwaac4uanb4lm3vvbsbaezmcafs2a.f0.mp4?dis_k=5fccf9c855fca61af0b2bf8b0d72d230&dis_t=1785601004
